"country","avg.2010_2019","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"Albania",0.182205171726042,"18.777757922362177","-10.951988960220795","-11.99358088556251","11.208208122816824","3.1098432210836791","16.357511014713396","16.13250852221714","5.5723943934034361","17.337435974722489","14.899579345076805","25.891349184655198","28.925218786438521","25.516716576411891","26.258268878035267","29.384836816314376","30.106494615217709","29.068942899269391","23.954293125558245","17.730924034090712","17.335896827340424",19.9676166726829,20.5454589869746,19.6251008726206,17.7412920007614,15.9293874874597,16.8639794428582,17.0490732471495,16.5293717538814,20.5000046954557,17.4538865661974,"17.65721448645289","21.140489132551178","21.035003412436044","21.966458487691352"
"Algeria",0.438487986751116,"23.977688119031043","32.259322472198782","..","..","..","..","..","..","..","..","..","..","..","..","..","50.723301454146743","53.690661292422995","55.806695499457959","56.619392233983092","47.951550537096956",51.2246917782577,49.9884990977608,48.7214581573368,46.6091921321033,44.6816138062205,39.0474245747252,39.7661646648658,39.5071431458833,40.4707867726198,38.4710126213425,"33.337086510301823","38.288655156205053","44.0744263963794","40.5777787869868"
"Argentina",0.149060153156798,"16.043375351621062","13.561856030418909","13.651642792925726","16.250527912260186","15.648362453387197","16.511632270059788","17.13007735630843","16.66428242664292","16.12973432759582","13.661916375334487","14.368437695825756","14.214072822783061","21.34317687823917","21.7345330075457","13.782834874786493","13.708609732895324","21.417229539398495","22.231444171701344","21.12680239805287","18.321366304632651",17.3318557921569,17.3332165460366,16.2099451316674,15.1944663729121,15.909027608976,14.3058273001867,14.6222549674317,13.0688485783361,11.3939154141372,13.6907954449568,"15.012135318938558","19.412895107575761","17.219937124876459","15.891741780653824"
"Armenia",0.145853463288409,"..","..","..","-5.4394105510132853","2.5688297783348162","-2.1299177533343361","1.7875888339848454","3.914112606810829","0.7561743076490437","2.8340555504992726","-0.92701687966336521","5.4119836308567866","10.24540582802055","16.341811815503995","19.714835101296167","24.307317917495837","28.54483303293361","28.600692629381118","27.904920347990487","14.047556655861662",13.200763048602,11.095722762862,14.0967327906916,14.836719782724,13.2812572210453,18.4537774287326,17.8749653628263,17.1784579074194,15.553575766877,10.2814912166284,"15.655732393428789","19.662447649442015","22.503910915733304","18.979418117465759"
"Australia",0.225253759228487,"24.44789554131664","20.836268835486763","18.342231184633139","20.331481858382116","21.877658026748129","20.636648721364402","20.900087603319552","21.814165832526172","21.628200705438186","20.630597348838428","21.195907959463682","20.747578198498353","21.779979953355735","21.082940551502617","21.521083947643145","20.98001199723662","21.65708047885132","21.360623464153804","21.893339705951654","23.996809447350469",21.779589193384,23.233863755159,24.2816686227821,23.8825387040325,23.5587570521884,22.6130541293527,20.6104635837291,21.6646108801241,21.504535529276,22.124677778459,"23.446660152229455","25.452824444142379","25.09926776552409","23.971493725494092"
"Austria",0.270528883612526,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","26.8843124330231","27.609623855013133","28.9800155852079","29.46447764714933","25.718931378399461",26.5297208029823,26.929190381546,26.5517225984531,26.4443050886665,27.1527539950713,26.3436242170595,27.7247046722407,26.9635636655762,27.4632777540077,28.4260204369228,"29.29707517601371","29.135976469550744","27.514758748639025","26.274359993915418"
"Bahrain",0.325231751924671,"31.818601667481193","13.660381236108435","10.584670620311911","10.129140083899932","14.569497238906804","16.392689385909016","16.364901633881317","14.920629537024421","7.7840547402677807","6.4690484434916558","25.733251126142648","18.239961245018563","22.827817451956665","25.547485309056157","24.105475623222745","35.966348780195325","42.208622278050917","48.088998443175946","43.726163747892365","28.585930987145165",33.1284892921456,29.6615729841606,38.9408099688474,35.876193329386,34.1382098088871,27.0588350740386,28.600290095317,32.1659645679001,32.0008791764241,33.6605076275644,"28.241737446150072","34.464493172665655","39.598435034979282","34.851203651384637"
"Bangladesh",0.376074563321831,"23.024411863470483","22.560405924653214","21.994003830074575","20.901202135504981","22.417160059284477","22.146154490517883","23.138794083200352","24.397478698651984","25.834054726151884","26.659956815379321","27.7974576904575","28.422290432944404","30.749176431081825","30.164596698861047","31.577400668176558","32.359407256824156","35.341190936004011","36.317462584394875","37.381877796760392","38.976393916720014",38.7817739319855,38.059489785547,40.5995794494189,39.745387710533,37.7792321968568,36.7309559824005,37.280299201621,35.2852031466044,35.4590395013776,36.3536024154867,"37.1888662137067","36.051174233545957","33.9494644149112","34.904359882013296"
"Belgium",0.239212602558375,"..","..","..","..","..","..","..","..","..","..","..","..","26.371767747410019","26.224228559027331","27.19434757542739","27.316822170972614","27.848000965726584","28.779584869825513","27.4273411880211","24.282629957044648",24.3820400904232,22.6227585513132,23.8234148499025,23.5217801711409,23.6160903932113,24.2517440637953,24.1059871833229,24.3453287893002,23.7790601854148,24.7643982805505,"24.467362474010756","26.457909833210074","24.249824500614174","23.904537413272827"
"Belize",0.185941096613898,"59.755094581010695","57.8964997487858","31.41113105924596","32.516437537358037","27.85781432085977","28.096782858189368","25.6885761297526","18.983117700938859","16.8798224852071","18.206585711072233","22.731572289928877","16.181701458417898","14.380532201818813","12.247149488805611","13.706987259171866","16.796117530901981","22.551870307696571","21.881137540927476","20.287046897222211","21.127836389641171",18.5898784114614,21.3237544541062,19.6929179143725,17.7832454809855,17.9545959647106,20.2591213536162,20.813807413222,18.2138140739667,15.3835286379241,15.9264329095327,"22.695026223095674","22.438663015503419","19.11506592833744","21.969251711352431"
"Benin",0.164808306890875,"9.6883737377689627","10.75654139066476","9.5752064164883333","9.6853133374998155","14.506101473548846","15.89711153794355","15.243891330184256","16.18785117599197","15.798575236332635","12.456530472493101","12.683879166683647","13.278921809742993","13.613288752563871","11.366391004075247","13.256865781635682","12.190929724022736","12.46486563968473","14.045190406808967","12.641740750266841","11.454386753592951",11.3872624211694,12.1258515407338,13.5331677387815,16.2831559488553,18.6043786814909,14.0978645778719,17.9518374129043,18.2530062399792,20.3473009920868,22.2244813370021,"21.5807817594756","22.842768429383135","28.778210884003393",".."
"Bolivia",0.197557751826959,"9.5459882298071541","8.884363690996155","8.4805547168470827","7.7987475240831179","10.199565840513792","11.168786642948774","12.069211957419702","12.582138494101056","12.822161458331832","10.657470719206707","11.015088389057999","11.256232612947176","12.297067153830845","14.485719686130222","17.046646348709075","19.882483409039182","26.582244785912479","28.636097506262409","28.983280969389725","22.899887246800386",24.8491394995017,26.3174175698526,25.6940564279268,23.8909396636319,20.7894778416722,14.2169253682966,15.4200514283942,16.0570289027472,16.1277862660428,14.1949288588934,"12.482264443334193","13.849045740837331","13.939481871791562","12.01922926314122"
"Botswana",0.324462562759319,"41.647819683237913","44.996393670739522","41.398507070268295","43.739229120547449","29.322317957083676","29.008248974867335","36.913228500433178","37.491516891742663","40.527018375815047","39.691031004010931","39.441437350485","43.393177166678868","31.434561404553573","35.67831752675518","34.270372934879539","40.436715703604236","41.346296741458488","44.516104072947883","37.088528454928564","27.424000433842664",32.0369221004781,38.6149723777198,36.8743362754926,29.922466445784,36.4426637314615,31.3073044002376,30.1262787899122,30.796215415942,26.8294543244952,31.5119488977962,"24.187868782673597","32.05430505254354","36.681857001563436","35.956252809958919"
"Brazil",0.15485495580302,"18.920135035532475","18.7329794645523","20.198383577852429","20.25436121529043","19.115040360613268","14.439362707423125","14.041321016100468","13.711158574772009","13.890452939410197","12.736901451250182","13.991703128315214","13.594597375319994","15.405872269643609","16.417941808670435","18.855018861684663","18.114095533966392","18.409816322752022","19.346360315166731","19.226846663099963","16.380365025047841",17.8023993566141,18.6012664311454,17.678108528341,18.1516908308164,16.1344049935616,14.5293471801657,13.4217530068461,13.5777696899144,12.7074199533443,12.2507958322711,"14.793329184373254","17.156485866461423","15.955116099468041","15.540583974839137"
"Brunei Darussalam",0.582539773167677,"..","..","..","..","..","..","..","..","..","..","..","51.787696126829843","54.516224288235762","56.94785679512384","56.770648230433181","63.941456338298543","66.208597042425481","61.739209738021593","69.492591636707871","58.287989191466814",60.15154555826,63.7858067890035,62.9040807611642,60.2794126685451,59.8076366760422,57.1182687088944,56.4115796642344,55.3364206174156,53.2133009712721,53.5317207528456,"50.885994710408568","49.735685278807296","50.382596467391238","45.962429158594517"
"Bulgaria",0.231134347489374,"14.655016677461855","17.337391304347825","12.823336653386455","6.21552980930077","8.5097488584474767","25.565018017883833","9.956693826958416","21.354719476941295","25.190229941422466","16.112580313853332","13.483798896627802","15.721540721081736","17.985153410415151","16.809831743862251","16.977015339124634","16.756853442118267","14.944679140627942","9.63073336467823","14.784488172877385","19.627196342053345",21.1797538908945,22.4239659754795,22.2732594847795,23.8892099931209,23.1794279719248,22.0464311180805,23.6739648913928,25.0128233955297,23.4081555712396,24.0473551969318,"20.680525529721823","20.45807226454103","20.083422086285761","20.535033585471403"
"Burundi",0.0614212823851381,"8.7039413602983533","11.681514043822288","5.1437104863729113","12.111576469772302","5.4172751248007751","6.017278401086382","3.7375572973995705","6.0407461224864321","0.66530331867602355","2.4180286821496391","1.3279678495245855","1.4898836473421802","4.2001734833544431","6.755630908134064","6.5873177153062148","15.349424460607958","8.0074738529658429","7.3374335656348046","-1.5047309516509579","9.85453402590192",3.21313433752747,1.95173031827764,10.8824792965122,3.93252302393491,-0.500763519960478,12.1264406661441,7.25758459192548,7.37870527880964,5.51780106703573,9.66164732493142,"10.649260346945692","12.566716098775077","9.97861938954023","11.007047591662214"
"Cambodia",0.223753207182443,"..","..","..","-1.4592240771227356","4.49925385598084","5.6167247846230053","4.6745981957533234","8.5399863263003279","7.2339920896352368","13.020769071798918","14.683329231376266","17.29351251924766","19.34754822306693","16.696169687895836","16.208765650131411","14.895817534599292","17.592497072225136","17.789321405338217","16.697137717197464","14.933483962053588",18.3421773553563,16.7893752947732,18.9133930307839,19.0619428294574,21.2940234572975,22.9390336317365,22.8048280679225,25.0783729354626,25.951934881936,32.5781256977174,"35.761270111444446","35.365972675931239","38.284444510997886","38.843092809263212"
"Cameroon",0.153665262996497,"16.186768646357979","15.419138850183897","11.066106478853843","16.082269783436242","18.038084644412503","19.685051116412982","16.403137927469611","17.558221150989432","17.335486835385186","16.542379206438397","14.381484724280504","12.157824861927255","11.911756136837864","14.190985594230554","16.91747745110214","16.870375169181074","19.320321961151073","18.885963008423928","17.516534906087855","16.141050285621",15.2982040145431,15.5227665008286,15.1163554275669,15.3338084113917,15.2243858420723,14.3156939343018,16.4568941322377,16.2893837257787,15.7078498598528,14.3999211479235,"13.348618765419678","13.939628059460194","15.605788851694873",".."
"Canada",0.203239047443815,"17.759890764972837","15.142207882611217","14.056917651051815","14.883827947969444","16.982990179113155","18.949594812255636","19.461567580577622","20.196734015001663","19.774214276070825","21.095886781962246","23.774628073121796","22.635489053482036","21.724737198021931","21.943777150401985","23.660504071831571","24.451754139056916","24.617277079787335","24.4043195574877","24.247409305480758","18.520013474571588",19.312530097616,20.8571094113825,20.9179512281937,21.5972984025064,22.1484938947536,19.5693636315682,19.1464545719812,19.845280989292,19.5829312304021,20.2616339861192,"19.461889002372317","23.290778244750555","24.074784587365048","21.924599002673226"
"Chile",0.218072178221673,"23.665130888853138","22.667001556609389","21.817224704208478","21.246929282632713","21.51975589565933","24.23508735791459","25.318326399942542","25.076359769833157","23.3949811243072","22.483316264988922","22.501724287909855","22.954006883279281","23.121689709071372","23.537828588537625","24.427733185093608","25.130209747263748","27.649881037478291","27.434231005887604","24.14920778549136","24.276937247315946",25.627693745616,21.6861214946447,23.4686620904117,22.6663181534405,21.6794794791038,22.7338614190882,21.0878070345268,19.8421251133435,19.6037090588864,19.6764006326117,"19.085548677336625","16.625446570735594","16.837004435983225","19.338198990295705"
"China",0.467181689506153,"36.694189756245116","38.501169735599646","40.605552626024519","41.707234617353407","41.69672689004652","39.530099733356813","38.759124188298486","39.742242181975293","38.347084943467294","36.55791218450414","35.739553531728042","37.269297371693312","38.883220893079425","42.413504343438667","45.672367335074263","45.954784312021019","48.260505424376767","50.275226215447177","51.78758738405417","50.373042082547236",51.3267135766309,49.2333282501259,48.6653634062587,47.3783915431545,47.6158184131896,45.4175894313738,44.3806614370311,44.9050475034286,44.4857479859689,43.7730279589906,"43.9264166508497","45.470684635519767","45.813824611118683","43.607186613065629"
"Colombia",0.177013033400181,"20.880999021521816","22.936971397781321","19.085338755368639","17.902653182055264","19.101415176269626","18.507087536764516","15.109326154663982","13.498266054855772","12.87348160840733","13.539634199557812","13.574968672597388","12.834635393711228","13.925460616832149","15.39649530557293","16.828364402706505","18.424069096692616","19.010772289036819","18.638649868679042","19.568208607597303","18.669996638601706",18.4559135277445,19.3455564254972,18.3713284261771,18.1897993478304,18.1560951133674,17.3698672741382,17.4778572831634,17.1021276324029,16.3655824640151,16.1789059058448,"14.437460219909198","13.059873371022897","13.539096896044228","11.312937500426244"
"Congo, Dem. Rep.",0.15034156516854,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7.3624217532321072","11.825032898485702","13.070581204595838","3.4531866460510625","8.5436361628572772",19.9403579524423,19.1681383413157,8.15800079990761,12.5392497517726,15.3931346883369,12.3090628509051,10.8543723268752,21.6499452975083,15.8415952108928,14.4877079485832,"22.441779002688882","26.459079047830631","26.911050952925791","29.567579394326142"
"Congo, Rep.",0.472645806552712,"31.77735958007008","17.57838974881215","32.332102073078659","21.211464255284117","28.807953298890016","-2.3017496682331178","-0.2092482887176165","9.2748130116751124","6.0243474479334695","17.682095742889267","36.172629740432214","22.025235322167877","23.54827370397944","30.741573447338986","17.045043350692374","32.698088481249791","42.004904226197446","33.348470798808869","43.492453670080224","40.19205721454933",54.0443063371664,50.0898262278917,57.5017258500525,57.8501801216832,56.6381735831881,39.5434917277291,24.8695397877742,NA,NA,37.5794016066847,"36.292995109610239","31.656027635491142","..",".."
"Costa Rica",0.143790686351892,"19.357231041761857","13.178888298404349","14.614966940513865","13.099861611308203","15.244405429273403","15.892266735658723","14.138785595353657","15.729374235402865","17.439231200054085","15.744081633759155","15.770783852768172","16.572938180248162","14.357214508899945","13.419974160323827","14.880800921271534","14.179046498771223","16.447090072991386","17.117005785893088","15.242355679794118","15.781804837042406",15.8017129041356,13.7990461337207,13.8379894190527,13.8345319589992,13.4957808109534,14.6225454444807,15.8807370539616,14.2437090330734,14.3836429457592,13.8909906477553,"14.884609022935678","14.5296479485533","13.946083307512778","14.308379784912976"
"Cote d'Ivoire",0.0816364963809384,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-18.752923441707143","-18.266880100333776","-19.902974472659331","-13.984217195525552","-12.23455870914176",-11.3676331464475,-12.4490286914098,-9.90077028993937,-8.31457865881536,22.7890998181656,22.4324710198086,22.4314675677744,19.2374426995924,17.868642009292,18.9093840529174,"17.747871816506173","19.05099755086027","18.1897612431985",".."
"Croatia",0.204851505508259,"..","..","..","..","..","..","..","..","..","14.97117687343029","17.803634968493348","18.260575058355869","17.47359537316963","18.11687208592447","19.955898398177055","18.802410269928536","20.306760498383738","20.330577392531271","18.811202627862965","17.786790489996338",18.1428008058667,17.2039540134161,15.8104550818609,17.8391709250901,18.4700968163166,22.2457869421232,22.1812341076619,24.4184285390035,23.8734161547031,24.6661621222174,"22.591913329999354","22.592964453649998","22.998871073136023","24.269452375953268"
"Cyprus",0.132255593374581,"23.096056073581291","17.157166584856473","18.556227384036116","24.7769275497133","25.957351212972256","21.129043818755981","19.3236351152769","17.540560727696995","24.983578974390745","17.699252844578627","16.049601586770105","15.685474106070338","17.315922134674622","17.936718870257412","17.084833274533505","16.977109786541249","16.863926070094013","12.851909940734926","13.881692528132275","15.844400527188968",13.039656463232,16.3486366158225,12.0731015536171,11.0588186216071,9.17812035340465,13.0028618430076,13.1321172639405,15.3749581363421,15.0638362304815,13.9834862931264,"10.96015851439328","14.484288605392418","15.594440077400554","11.166039921393462"
"Czechia",0.235955394881237,"..","..","..","28.463988139480247","28.944569721789726","30.280200012401671","29.502499378044039","27.094185666020998","29.169677138187485","27.691720137552011","28.088024191657436","28.119569802788629","26.18885175438399","24.889005182809949","25.448515812603546","26.430642263956805","26.08042769121074","27.6142652158985","26.901372438768938","23.0958640389012",21.0809430111006,21.1066352237421,22.6335507356647,22.8515812454994,23.9188494747839,25.6145402041401,24.5587116303609,25.1686650342836,24.686143146311,24.3357751753505,"24.088041010764307","24.344482083391711","23.242272435345615","25.114479989704886"
"Denmark",0.274831762052373,"22.583207498840792","21.583961591918165","22.012339031999964","21.968428114992619","21.661567172999241","22.799712791824202","22.892189353635413","23.797116614982762","23.415104270911641","24.245927366250612","24.894230967475661","25.851848666494881","25.168802611259046","25.15817530720496","25.753387185952437","26.223190845444034","27.457323064377853","26.540866060966462","26.890892303053942","22.620115689512129",24.2219767931456,25.3354214450752,25.2820267612672,26.731771086216,28.5475277460707,28.4990301142502,28.7665043505098,29.2794276364168,28.8372724830266,29.3308036363949,"29.988191319906814","32.277739123845514","36.352634668235943","32.659704599034427"
"Dominican Republic",0.20435575047488,"16.162197036989014","13.94843111190934","11.853542953244826","16.039902141132117","18.316896343827711","17.946579019570049","19.613094948690758","21.093575018774093","25.831077071623977","24.713396343729226","23.129881989825325","23.697074420711377","23.798405144173394","23.6324829374453","24.765897788528516","21.998910074697818","23.020350797775968","22.699073113659079","20.112198282986991","18.169653533109571",18.52283537939,17.1313848007504,17.5613331018236,18.251243015048,19.5866103558932,21.3468975698842,21.5888476381438,22.0071480902577,24.0465733328485,24.3128771908407,"22.849418663136749","27.856504441578195","27.679872879688531","27.487484686600578"
"Ecuador",0.239211961639947,"17.76415141360873","18.2671643725713","21.574447292262484","14.781898757943262","15.346600318742491","14.512289528689386","16.761081162761","16.918236720570846","14.940176518756893","22.073358390054722","26.62575837692372","18.819054942993432","17.812394310433238","18.042652305888758","18.970646967480235","22.905603466757476","26.51469569044097","27.351702542935652","30.487457906357594","24.883509799682479",24.8168020642268,27.5956978464112,27.0560358759764,27.2669540464466,26.5544051178952,20.625722767962,21.2593737638321,22.0809584801112,21.1907764792618,20.7652351978234,"19.813838330476138","23.810226409504516","24.133015788733275","23.514646524007247"
"Egypt, Arab Rep.",0.138300737403004,"31.684120354906053","34.92790115555556","35.475630553558588","31.625027835051544","23.926628114285712","22.243441960784313","18.751829816913688","17.736939827002644","18.959359777313846","18.895144213263979","17.583873419582478","18.610671034290494","18.407987595671681","18.648095808383232","21.112219245827323","21.842292107706594","22.976736279747449","23.555298200859291","23.62350083752094","16.83984206486279",17.9503889441406,16.8687182554154,12.8782110228698,13.6832216190067,11.8849607981221,9.59346470804861,9.71004152210822,12.4765276949588,16.0827781063821,17.1724247319514,"13.453391834346457","10.854025738770243","12.754077143767931","11.176024312462507"
"El Salvador",0.134547873395055,"11.637244711685664","12.189777762858073","16.710104410403773","18.105785641747193","20.634111804816243","19.182065578445425","14.168029282407179","15.285602484896868","19.021681311422867","16.619016842758064","15.714992464484952","18.39061852841176","15.591487913759478","14.808445058168024","15.450889745956353","16.733841338957681","17.46499507184112","13.648742780725087","11.654655140493993","12.281255929851911",13.7834777561048,12.3086610992698,11.9122958239423,10.1146246794721,11.5839796461598,12.326249872465,13.6901480512049,15.0315465950023,15.5913609442311,18.2055289272031,"18.292911247824762","19.32399125472838","16.634931335534333","18.063973697319145"
"Estonia",0.255273876699118,"..","..","..","19.977301804064194","16.540236630158493","19.039567691241466","20.377186767842311","19.054475348451422","21.725737721514282","21.17784707240186","23.770956406774506","23.144733187973735","21.949313855013109","21.92319267226333","22.241947458678936","24.250037420542544","24.58844546574937","24.348497801395926","23.43544533239605","23.749566767919671",23.3553362858611,26.3947830998057,26.2546765452171,25.7590817333901,25.8474582593589,24.5651407354592,23.9188833040872,26.1880439815039,26.4323994483888,26.5580733060463,"25.664348521833357","27.249164459132523","24.568991873419886","23.381514836491021"
"Fiji",0.149431719822561,"5.8462374469784928","9.3043976642982127","7.4470997283156075","7.9168721506442008","7.7044555011035882","10.008174205200767","20.892658677021959","21.118030885471896","28.45594489827355","24.206140373875883","22.513960866807253","17.269887174352895","27.48774171730264","24.344326683254842","15.567251395931061","16.681676529745726","2.6900716298167775","6.0855379207897737","8.427305122846759","14.557643571611544",14.0863141573111,15.7978187636014,15.830080920172,17.9586422561058,15.093199965172,18.9408181231233,17.5569966883914,14.7584673464378,12.591840361397,6.81754124084954,"3.04882636430373","5.8032338252618771","0.92399268337509333",".."
"Finland",0.228279034820506,"26.678236580380322","19.394295883219023","16.977044775535035","17.697214352185579","20.672709268398084","23.805617372648658","23.318883415843935","26.441569377230472","27.680292774782906","29.180969489156457","31.286016047936329","31.976654521162335","30.941614008779929","28.045659369192688","29.608798367801914","28.619682782707184","28.66564747319449","29.949201601365044","28.235298898107374","23.783488466210954",24.0757630835934,23.1093864635676,21.6813273120409,20.701370754821,21.0572489555873,21.4071498799561,22.1883695851758,24.2432706785955,24.7335370452384,25.0816110619298,"26.336300171602112","25.83890076297843","25.612307742242919","22.091441345498051"
"France",0.215286266774045,"24.424088499661568","23.944909377699194","23.3295128169065","21.857422247933254","21.904949153571778","22.2644640287678","22.139780841418595","22.926997117165236","24.056462859788869","24.634668616919051","23.953765449419276","24.218178771814785","23.074282040045748","22.464752217965277","22.805725520121612","22.560372485617709","23.09065810805722","23.612064424023945","23.275046582686912","20.740908035177092",20.794804921561,21.6296114264942,21.0318540578025,20.8530625233337,20.8135742656414,21.5291766759439,21.3638866150615,22.099186232095,22.293646251093,22.8774638050187,"19.528364195417385","22.282265476555366","20.641032328032878","20.587250152724096"
"Gabon",0.416467625750867,"24.252128840791944","28.780449538944936","19.325823542118908","17.464502653679919","29.140432314448844","32.682488388648437","35.559731337890092","41.447285398094614","25.245624309144816","32.311477101111009","41.657100929297854","33.84013864031197","34.747382453994831","32.728431991395567","32.121605685703962","44.628054821847172","..","40.061535309824","44.391399986064293","34.477580645906073",41.1585722703983,43.7611797512154,43.8902969800746,40.3059123459128,42.3866173701812,38.3779967327377,NA,NA,NA,NA,"..","..","..",".."
"Gambia, The",0.129771331536045,"21.853656919655055","8.75105510571943","11.703743206586301","-0.15817787240445083","-2.3392145718540114","9.4531000577546624","-3.3115796584465134","7.5389101360695179","..","..","..","..","..","9.7933719009995066","6.0499692438731936","3.5817991915522049","11.746923496707277","9.2517595468251148","0.32128201443729582","5.3078486389779043",-0.353209991380803,6.28663672715035,15.7218659310808,5.58775467653721,11.4097483164872,18.8923575374895,19.9129072007007,18.6834283323969,15.6762381139238,17.9536046916595,"26.889008981651479","24.0191249551621","21.491184332132356","28.537874804199397"
"Germany",0.256898817724285,"24.479120893293434","24.087917462140666","23.67551258091126","22.5812922583573","22.72762218587458","23.14266551126552","22.616116028568403","22.769092801640372","23.138367093608238","21.735793836459397","21.468162099849305","21.548501005376313","20.970042286467518","19.79375332305381","22.204135501717865","21.762668467876743","24.016177015121833","25.7803835275977","24.786232062896531","21.820911083606958",23.2537333198972,25.5380185703092,24.6551122224942,24.5039745675432,25.338353267041,25.9269192971715,26.319556289065,26.4870288002618,27.4042565392873,27.4718648512144,"26.9435819794531","28.189212453546858","25.678391341574731","26.587697605682454"
"Ghana",0.140634264751144,"10.533404206912673","11.862601723810508","6.9325444409757839","12.836353012577154","19.077268472622482","17.625605325283487","18.095309859154931","10.410867657687023","18.031633175300644","9.3631922710619158","15.265862335030981","21.09272209993512","18.754322731365889","21.156288220358324","22.871691477471369","19.207310517402696","17.411536288962417","6.7437820573154488","4.3409738696277413","11.03620335548306",4.87086082915232,3.8817620783489,5.26751918545763,15.194813255799,18.232905467115,21.1030520908018,18.6351970656158,15.8596322936306,19.9978831721275,17.5906393130953,"21.075519199410365","15.594465710609532","17.829821099390919","14.07304576495439"
"Greece",0.0952683371151509,"23.600485725467554","26.14279492660997","24.977818099976108","24.079006899461334","24.776874349239353","23.377653170795245","23.117165304763834","23.989240672575004","..","19.669140770352524","22.134426214285536","21.336442584128324","19.572262363457526","20.630430066662942","19.834641006403373","17.858477069194876","18.103023845553686","15.189878026726145","12.844949673712607","8.7055048935287722",7.96710718893519,4.7996451977027,9.46817684096009,11.8148105352747,11.8755919743115,11.3115181573327,10.3726731013034,9.4606525120089,9.13331870877316,9.0648428985485,"4.5972499106817537","8.22525102064795","8.5750334121387652","10.586633774048574"
"Guatemala",0.132226734566968,"10.197287556451336","12.348292284466551","11.48472103629242","11.020779797988911","10.804232741291322","11.149828140930742","9.7807471406666728","10.113379489668731","12.004280060912157","11.789601814572398","12.479221741569891","9.97522184960353","13.720080445351297","14.337354117768875","15.667990279835161","13.80210676348932","14.358038997166345","14.45507454574901","11.604735700784683","12.799141466310141",11.6471590114794,11.1288429000036,11.5585432623844,11.5997046198082,11.7710154603015,13.5751922075465,14.8239445642748,14.7843429555029,14.6662991562332,16.6716904294331,"18.525889813122653","18.950448279280504","17.817490298714482","19.49625847738179"
"Haiti",0.150587887398749,"2.9678100544722912","11.407536158654645","11.065458953420951","-4.5566226672998882","-0.96854474357770859","26.434058686437854","26.915983255429072","23.182984381365031","25.7888310752893","26.572812759263005","6.9034364539998254","6.2128164296757253","9.049277648577668","15.818207947061879","10.583429087452318","9.9150133601187775","13.239462805258048","8.29424804605831","10.6538018084597","11.55345881175154",24.1299714037935,18.4843891975423,14.2317338119252,13.7405924666739,11.6072184124707,12.3606104544892,12.4941604150401,15.7862506949783,12.0313771202585,15.721583421577,"17.721857955799269","13.402198874312013","11.602073188557576","11.371859063840652"
"Honduras",0.182147508325169,"13.735129018947859","13.819833903363213","12.616999997785133","20.055045689977003","23.762892640732968","21.923034644032665","20.436158792048381","23.525166206449935","23.9126823524933","26.690822017558034","20.222381797016432","18.788447507204655","18.693798649187226","18.809069971091162","20.184169059843946","23.884600403028895","25.080643173071966","23.986792130470622","21.454802676501885","18.859223710765029",17.5472186844683,18.6987087346658,16.009021356632,12.6974100262328,14.711596300724,19.6753323793373,20.4257952331849,23.1528853592307,19.5805017451609,19.6490385055329,"21.939663016955858","18.274013386967543","19.049944319985737","18.9815432229671"
