"country","%.of.GDP","Yt","health.expend"
"Sudan",5.68438482,10042269728.1821,570841256.012239
"Senegal",4.25606871,53458977504.3969,2275250814.25058
"Singapore",4.38810682,559233645780.271,24539769750.2187
"Sierra Leone",15.78850651,12766151753.4109,2015584700.66376
"El Salvador",8.71456337,56882328337.3053,4957046549.28594
"Serbia",8.45890999,119045507231.098,10069952303.8175
"Slovak Republic",7.09,169593783561.154,12024199254.4858
"Slovenia",8.46,75996452004.2824,6429299839.56229
"Sweden",10.85,541498620528.385,58752600327.3298
"Togo",6.59755707,17638088246.1134,1163682938.09429
"Thailand",3.93900609,1333636101881.01,52532007271.5316
"Tajikistan",6.96,23646480709.9011,1645795057.40912
"Tunisia",6.24778175,113729524204.869,7105572457.63364
"Turkiye",4.28,1069494505725.77,45774364845.063
"Tanzania",3.96350336,145776048193.533,5777838568.2259
"Uganda",4.96169233,87455544197.3171,4339275028.59804
"Ukraine",7.55,398853530689.578,30113441567.0631
"Uruguay",8.67535782,69240087782.8686,6006825370.04596
"United States",16.80215836,19141671999725.1,3216214042145.59
"Viet Nam",4.86994743,826605938098.938,40255274638.6766
"South Africa",8.07959366,680581104417.304,54988187763.6585
"Zambia",4.46923161,36928209840.928,1650407227.21788
"Zimbabwe",7.46644735,970074810.067752,72430124.9493212
