"country","age_grp","year","lta"
"Albania","30-34",2044,0.887961018394047
"Albania","30-34",2045,0.890646075865714
"Albania","30-34",2046,0.89327451904165
"Albania","30-34",2047,0.895847172693983
"Albania","30-34",2048,0.898364867580385
"Albania","30-34",2049,0.90082843935886
"Albania","30-34",2050,0.903238727547064
"Albania","35-39",2015,0.808618239930388
"Albania","35-39",2016,0.811532866906824
"Albania","35-39",2017,0.814413293426149
"Albania","35-39",2018,0.817259610143279
"Albania","35-39",2019,0.820071917674819
"Albania","35-39",2020,0.822850326306389
"Albania","35-39",2021,0.825594955699643
"Albania","35-39",2022,0.828305934599347
"Albania","35-39",2023,0.830983400540883
"Albania","35-39",2024,0.833627499558505
"Albania","35-39",2025,0.836238385894678
"Albania","35-39",2026,0.838816221710817
"Albania","35-39",2027,0.841361176799713
"Albania","35-39",2028,0.843873428299946
"Albania","35-39",2029,0.846353160412536
"Albania","35-39",2030,0.8488005641201
"Albania","35-39",2031,0.851215836908758
"Albania","35-39",2032,0.853599182493004
"Albania","35-39",2033,0.85595081054377
"Albania","35-39",2034,0.858270936419873
"Albania","35-39",2035,0.860559780903043
"Albania","35-39",2036,0.862817569936699
"Albania","35-39",2037,0.86504453436863
"Albania","35-39",2038,0.86724090969775
"Albania","35-39",2039,0.869406935825045
"Albania","35-39",2040,0.87154285680884
"Albania","35-39",2041,0.873648920624512
"Albania","35-39",2042,0.875725378928739
"Albania","35-39",2043,0.877772486828379
"Albania","35-39",2044,0.879790502654068
"Albania","35-39",2045,0.881779687738593
"Albania","35-39",2046,0.883740306200117
"Albania","35-39",2047,0.885672624730298
"Albania","35-39",2048,0.88757691238734
"Albania","35-39",2049,0.889453440394023
"Albania","35-39",2050,0.891302481940729
"Albania","40-44",2015,0.82212576844805
"Albania","40-44",2016,0.824366694280854
"Albania","40-44",2017,0.82658534320083
"Albania","40-44",2018,0.828781786558375
"Albania","40-44",2019,0.830956099496475
"Albania","40-44",2020,0.833108360847217
"Albania","40-44",2021,0.835238653028628
"Albania","40-44",2022,0.837347061941917
"Albania","40-44",2023,0.839433676869191
"Albania","40-44",2024,0.841498590371706
"Albania","40-44",2025,0.84354189818873
"Albania","40-44",2026,0.845563699137069
"Albania","40-44",2027,0.847564095011318
